question_id,indicator_id,indicator_name,entity,year,value,formatted_value,unit,direction,source_id,is_baseline,is_latest
Q1,extreme_poverty,Share of world population in extreme poverty,World,1990,43.4136,"43,4%",%,lower_is_better,extreme_poverty,1,0
Q1,extreme_poverty,Share of world population in extreme poverty,World,1991,43.1176,"43,1%",%,lower_is_better,extreme_poverty,0,0
Q1,extreme_poverty,Share of world population in extreme poverty,World,1992,42.5091,"42,5%",%,lower_is_better,extreme_poverty,0,0
Q1,extreme_poverty,Share of world population in extreme poverty,World,1993,42.0564,"42,1%",%,lower_is_better,extreme_poverty,0,0
Q1,extreme_poverty,Share of world population in extreme poverty,World,1994,40.7329,"40,7%",%,lower_is_better,extreme_poverty,0,0
Q1,extreme_poverty,Share of world population in extreme poverty,World,1995,39.4042,"39,4%",%,lower_is_better,extreme_poverty,0,0
Q1,extreme_poverty,Share of world population in extreme poverty,World,1996,38.0744,"38,1%",%,lower_is_better,extreme_poverty,0,0
Q1,extreme_poverty,Share of world population in extreme poverty,World,1997,37.6888,"37,7%",%,lower_is_better,extreme_poverty,0,0
Q1,extreme_poverty,Share of world population in extreme poverty,World,1998,37.9173,"37,9%",%,lower_is_better,extreme_poverty,0,0
Q1,extreme_poverty,Share of world population in extreme poverty,World,1999,37.3256,"37,3%",%,lower_is_better,extreme_poverty,0,0
Q1,extreme_poverty,Share of world population in extreme poverty,World,2000,36.2049,"36,2%",%,lower_is_better,extreme_poverty,0,0
Q1,extreme_poverty,Share of world population in extreme poverty,World,2001,35.2544,"35,3%",%,lower_is_better,extreme_poverty,0,0
Q1,extreme_poverty,Share of world population in extreme poverty,World,2002,33.7397,"33,7%",%,lower_is_better,extreme_poverty,0,0
Q1,extreme_poverty,Share of world population in extreme poverty,World,2003,32.1549,"32,2%",%,lower_is_better,extreme_poverty,0,0
Q1,extreme_poverty,Share of world population in extreme poverty,World,2004,30.2623,"30,3%",%,lower_is_better,extreme_poverty,0,0
Q1,extreme_poverty,Share of world population in extreme poverty,World,2005,28.3297,"28,3%",%,lower_is_better,extreme_poverty,0,0
Q1,extreme_poverty,Share of world population in extreme poverty,World,2006,26.9924,"27,0%",%,lower_is_better,extreme_poverty,0,0
Q1,extreme_poverty,Share of world population in extreme poverty,World,2007,25.2853,"25,3%",%,lower_is_better,extreme_poverty,0,0
Q1,extreme_poverty,Share of world population in extreme poverty,World,2008,24.1383,"24,1%",%,lower_is_better,extreme_poverty,0,0
Q1,extreme_poverty,Share of world population in extreme poverty,World,2009,23.0602,"23,1%",%,lower_is_better,extreme_poverty,0,0
Q1,extreme_poverty,Share of world population in extreme poverty,World,2010,20.984,"21,0%",%,lower_is_better,extreme_poverty,0,0
Q1,extreme_poverty,Share of world population in extreme poverty,World,2011,19.1019,"19,1%",%,lower_is_better,extreme_poverty,0,0
Q1,extreme_poverty,Share of world population in extreme poverty,World,2012,17.8252,"17,8%",%,lower_is_better,extreme_poverty,0,0
Q1,extreme_poverty,Share of world population in extreme poverty,World,2013,15.5039,"15,5%",%,lower_is_better,extreme_poverty,0,0
Q1,extreme_poverty,Share of world population in extreme poverty,World,2014,14.5075,"14,5%",%,lower_is_better,extreme_poverty,0,0
Q1,extreme_poverty,Share of world population in extreme poverty,World,2015,13.4216,"13,4%",%,lower_is_better,extreme_poverty,0,0
Q1,extreme_poverty,Share of world population in extreme poverty,World,2016,12.5737,"12,6%",%,lower_is_better,extreme_poverty,0,0
Q1,extreme_poverty,Share of world population in extreme poverty,World,2017,11.7932,"11,8%",%,lower_is_better,extreme_poverty,0,0
Q1,extreme_poverty,Share of world population in extreme poverty,World,2018,11.1189,"11,1%",%,lower_is_better,extreme_poverty,0,0
Q1,extreme_poverty,Share of world population in extreme poverty,World,2019,10.7633,"10,8%",%,lower_is_better,extreme_poverty,0,0
Q1,extreme_poverty,Share of world population in extreme poverty,World,2020,11.4119,"11,4%",%,lower_is_better,extreme_poverty,0,0
Q1,extreme_poverty,Share of world population in extreme poverty,World,2021,11.3269,"11,3%",%,lower_is_better,extreme_poverty,0,0
Q1,extreme_poverty,Share of world population in extreme poverty,World,2022,10.8887,"10,9%",%,lower_is_better,extreme_poverty,0,0
Q1,extreme_poverty,Share of world population in extreme poverty,World,2023,10.6182,"10,6%",%,lower_is_better,extreme_poverty,0,0
Q1,extreme_poverty,Share of world population in extreme poverty,World,2024,10.4002,"10,4%",%,lower_is_better,extreme_poverty,0,0
Q1,extreme_poverty,Share of world population in extreme poverty,World,2025,10.1967,"10,2%",%,lower_is_better,extreme_poverty,0,0
Q1,extreme_poverty,Share of world population in extreme poverty,World,2026,9.9759,"10,0%",%,lower_is_better,extreme_poverty,0,1
Q2,life_expectancy,World life expectancy at birth,World,1770,28.5,"28,5 anos",years,higher_is_better,life_expectancy,0,0
Q2,life_expectancy,World life expectancy at birth,World,1800,28.5,"28,5 anos",years,higher_is_better,life_expectancy,0,0
Q2,life_expectancy,World life expectancy at birth,World,1820,29.0,"29,0 anos",years,higher_is_better,life_expectancy,0,0
Q2,life_expectancy,World life expectancy at birth,World,1850,29.3,"29,3 anos",years,higher_is_better,life_expectancy,0,0
Q2,life_expectancy,World life expectancy at birth,World,1870,29.7,"29,7 anos",years,higher_is_better,life_expectancy,0,0
Q2,life_expectancy,World life expectancy at birth,World,1900,32.0,"32,0 anos",years,higher_is_better,life_expectancy,0,0
Q2,life_expectancy,World life expectancy at birth,World,1913,34.1,"34,1 anos",years,higher_is_better,life_expectancy,0,0
Q2,life_expectancy,World life expectancy at birth,World,1950,46.3944,"46,4 anos",years,higher_is_better,life_expectancy,1,0
Q2,life_expectancy,World life expectancy at birth,World,1951,47.1259,"47,1 anos",years,higher_is_better,life_expectancy,0,0
Q2,life_expectancy,World life expectancy at birth,World,1952,48.2183,"48,2 anos",years,higher_is_better,life_expectancy,0,0
Q2,life_expectancy,World life expectancy at birth,World,1953,48.809,"48,8 anos",years,higher_is_better,life_expectancy,0,0
Q2,life_expectancy,World life expectancy at birth,World,1954,49.6514,"49,7 anos",years,higher_is_better,life_expectancy,0,0
Q2,life_expectancy,World life expectancy at birth,World,1955,50.2055,"50,2 anos",years,higher_is_better,life_expectancy,0,0
Q2,life_expectancy,World life expectancy at birth,World,1956,50.7373,"50,7 anos",years,higher_is_better,life_expectancy,0,0
Q2,life_expectancy,World life expectancy at birth,World,1957,51.0636,"51,1 anos",years,higher_is_better,life_expectancy,0,0
Q2,life_expectancy,World life expectancy at birth,World,1958,51.6151,"51,6 anos",years,higher_is_better,life_expectancy,0,0
Q2,life_expectancy,World life expectancy at birth,World,1959,49.5818,"49,6 anos",years,higher_is_better,life_expectancy,0,0
Q2,life_expectancy,World life expectancy at birth,World,1960,47.8198,"47,8 anos",years,higher_is_better,life_expectancy,0,0
Q2,life_expectancy,World life expectancy at birth,World,1961,50.3459,"50,3 anos",years,higher_is_better,life_expectancy,0,0
Q2,life_expectancy,World life expectancy at birth,World,1962,53.2416,"53,2 anos",years,higher_is_better,life_expectancy,0,0
Q2,life_expectancy,World life expectancy at birth,World,1963,53.7161,"53,7 anos",years,higher_is_better,life_expectancy,0,0
Q2,life_expectancy,World life expectancy at birth,World,1964,54.2603,"54,3 anos",years,higher_is_better,life_expectancy,0,0
Q2,life_expectancy,World life expectancy at birth,World,1965,53.9975,"54,0 anos",years,higher_is_better,life_expectancy,0,0
Q2,life_expectancy,World life expectancy at birth,World,1966,54.5644,"54,6 anos",years,higher_is_better,life_expectancy,0,0
